Data,Ã€ vista R$
02/01/2023,1031.2
03/01/2023,1034.46
04/01/2023,1021.5
05/01/2023,1020.4
06/01/2023,1023.47
09/01/2023,1002.85
10/01/2023,968.37
11/01/2023,944.56
12/01/2023,953.0
13/01/2023,945.34
16/01/2023,955.07
17/01/2023,951.65
18/01/2023,979.1
19/01/2023,1000.74
20/01/2023,1002.74
23/01/2023,1023.39
24/01/2023,1030.2
25/01/2023,1035.11
26/01/2023,1048.76
27/01/2023,1061.83
30/01/2023,1067.01
31/01/2023,1103.18
01/02/2023,1104.47
02/02/2023,1096.14
03/02/2023,1079.9
06/02/2023,1114.33
07/02/2023,1123.64
08/02/2023,1119.52
09/02/2023,1118.27
10/02/2023,1123.17
13/02/2023,1117.26
14/02/2023,1143.75
15/02/2023,1125.22
16/02/2023,1135.15
17/02/2023,1157.53
22/02/2023,1179.2
23/02/2023,1150.14
24/02/2023,1141.39
27/02/2023,1141.47
28/02/2023,1160.98
01/03/2023,1134.54
02/03/2023,1136.99
03/03/2023,1114.38
06/03/2023,1123.91
07/03/2023,1134.01
08/03/2023,1097.38
09/03/2023,1089.79
10/03/2023,1092.87
13/03/2023,1107.71
14/03/2023,1106.96
15/03/2023,1087.87
16/03/2023,1128.17
17/03/2023,1113.46
20/03/2023,1106.86
21/03/2023,1114.76
22/03/2023,1112.36
23/03/2023,1100.27
24/03/2023,1122.44
27/03/2023,1115.01
28/03/2023,1085.19
29/03/2023,1069.0
30/03/2023,1068.86
31/03/2023,1044.94
03/04/2023,1082.95
04/04/2023,1070.15
05/04/2023,1094.52
06/04/2023,1101.19
10/04/2023,1096.07
11/04/2023,1121.49
12/04/2023,1109.21
13/04/2023,1132.2
14/04/2023,1125.42
17/04/2023,1136.75
18/04/2023,1142.57
19/04/2023,1148.25
20/04/2023,1111.77
24/04/2023,1111.82
25/04/2023,1076.43
26/04/2023,1092.76
27/04/2023,1083.01
28/04/2023,1077.88
02/05/2023,1075.12
03/05/2023,1064.1
04/05/2023,1054.24
05/05/2023,1060.65
08/05/2023,1058.53
09/05/2023,1053.7
10/05/2023,1054.48
11/05/2023,1038.55
12/05/2023,1034.79
15/05/2023,1037.39
16/05/2023,1044.21
17/05/2023,1042.37
18/05/2023,1043.39
19/05/2023,1057.64
22/05/2023,1040.61
23/05/2023,1037.01
24/05/2023,1039.46
25/05/2023,1025.2
26/05/2023,1018.01
29/05/2023,1014.0
30/05/2023,992.8
31/05/2023,991.05
01/06/2023,999.01
02/06/2023,993.37
05/06/2023,990.85
06/06/2023,987.44
07/06/2023,991.03
09/06/2023,1005.37
12/06/2023,982.74
13/06/2023,964.19
14/06/2023,959.1
15/06/2023,966.28
16/06/2023,963.32
19/06/2023,950.55
20/06/2023,917.45
21/06/2023,901.57
22/06/2023,877.83
23/06/2023,851.56
26/06/2023,851.02
27/06/2023,856.84
28/06/2023,840.85
29/06/2023,830.13
30/06/2023,825.59
03/07/2023,824.48
04/07/2023,824.7
05/07/2023,822.25
06/07/2023,829.41
07/07/2023,829.19
10/07/2023,823.14
11/07/2023,811.35
12/07/2023,804.51
13/07/2023,808.68
14/07/2023,821.75
17/07/2023,807.97
18/07/2023,804.89
19/07/2023,808.9
20/07/2023,812.66
21/07/2023,821.38
24/07/2023,826.91
25/07/2023,829.37
26/07/2023,827.37
27/07/2023,826.27
28/07/2023,811.74
31/07/2023,834.91
01/08/2023,843.24
02/08/2023,845.71
03/08/2023,856.24
04/08/2023,843.26
07/08/2023,853.99
08/08/2023,846.65
09/08/2023,843.74
10/08/2023,838.92
11/08/2023,835.83
14/08/2023,824.22
15/08/2023,814.38
16/08/2023,814.8
17/08/2023,808.71
18/08/2023,808.18
21/08/2023,811.07
22/08/2023,809.92
23/08/2023,824.49
24/08/2023,819.63
25/08/2023,810.72
28/08/2023,817.8
29/08/2023,812.16
30/08/2023,818.24
31/08/2023,816.58
01/09/2023,818.18
04/09/2023,821.37
05/09/2023,816.47
06/09/2023,818.89
08/09/2023,804.89
11/09/2023,808.49
12/09/2023,814.67
13/09/2023,807.08
14/09/2023,808.21
15/09/2023,825.15
18/09/2023,831.19
19/09/2023,838.98
20/09/2023,821.58
21/09/2023,815.95
22/09/2023,800.08
25/09/2023,798.61
26/09/2023,796.19
27/09/2023,800.23
28/09/2023,792.13
29/09/2023,779.9
02/10/2023,797.38
03/10/2023,804.04
04/10/2023,799.22
05/10/2023,797.63
06/10/2023,802.84
09/10/2023,804.84
10/10/2023,801.77
11/10/2023,800.47
13/10/2023,819.47
16/10/2023,824.5
17/10/2023,826.89
18/10/2023,832.86
19/10/2023,857.6
20/10/2023,860.54
23/10/2023,871.59
24/10/2023,875.97
25/10/2023,850.91
26/10/2023,847.84
27/10/2023,841.65
30/10/2023,836.98
31/10/2023,863.24
01/11/2023,836.59
03/11/2023,862.18
06/11/2023,871.52
07/11/2023,869.72
08/11/2023,890.14
09/11/2023,896.75
10/11/2023,888.46
13/11/2023,902.96
14/11/2023,896.59
16/11/2023,901.44
17/11/2023,879.03
20/11/2023,891.73
21/11/2023,890.91
22/11/2023,885.95
23/11/2023,885.22
24/11/2023,889.39
27/11/2023,876.73
28/11/2023,901.6
29/11/2023,898.36
30/11/2023,944.81
01/12/2023,942.08
04/12/2023,938.55
05/12/2023,951.85
06/12/2023,919.54
07/12/2023,932.25
08/12/2023,926.14
11/12/2023,955.82
12/12/2023,952.78
13/12/2023,988.32
14/12/2023,994.05
15/12/2023,999.29
18/12/2023,999.18
19/12/2023,1016.89
20/12/2023,992.05
21/12/2023,999.11
22/12/2023,990.17
26/12/2023,999.76
27/12/2023,1007.36
28/12/2023,1009.47
